Аварийность,Адрес,Безопасность,Газоснабжение,Год постройки,Жилая,Инфраструктура,Кухня,Лифты,Метро 0,Метро 1,Метро 2,Мусоропровод,Название,Общая,Отопление,Отрицательное соседство,Парковка,Подъезды,Положительное соседство,Построен,Срок сдачи,Строительная серия,Тип дома,Тип перекрытий,Транспорт,Цена,Цена за квадрат,Экология,Этаж
Нет,"Московская область, Мытищи, мкр. Ярославский, Юбилейная ул., 16",,,2012,24 м²,,10 м²,"2 пассажирских, 1 грузовой", ⋅  15 мин. на транспорте,,,Нет,"1-комн. квартира, 48 м²",48 м²,Центральное,,Наземная,6,,2012,,КОПЭ Парус,Панельный,Железобетонные,,6550000,136 458,,12 из 25
Нет,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 4/2",,Центральное,1957,45 м²,,,Нет, ⋅  13 мин. пешком,,,Нет,"2-комн. квартира, 64 м²",64 м²,Центральное,,Наземная,10,,1934,,,Кирпичный,Железобетонные,,26000000,406 250,,4 из 7
Нет,"Москва, ЦАО, р-н Тверской, 1-й Колобовский пер., 13/14С3",,,1917,"23,4 м²",,"8,9 м²",Нет, ⋅  5 мин. пешком,,,Нет,"1-комн. квартира, 40 м²",40 м²,Центральное,,,1,,1917,,,Кирпичный,Деревянные,,18000000,450 000,,2 из 3
Нет,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,2011,63 м²,,20 м²,Нет, ⋅  11 мин. на транспорте, ⋅  5 мин. на транспорте, ⋅  4 мин. на транспорте,,"2-комн. квартира, 98 м²",98 м²,Центральное,,,5,,,,,Монолитный,Железобетонные,,59900000,611 224,,33 из 54
Нет,"Москва, ЦАО, р-н Хамовники, Комсомольский просп., 42С2",,,2014,48 м²,,,1 пассажирский, ⋅  10 мин. пешком,,,Есть,"2-комн. апартаменты, 67,3 м²","67,3 м²",,,Наземная,,,,,,Монолитный,,,37900000,563 150,,4 из 5
Нет,"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,2011,,,,"3 пассажирских, 1 грузовой", ⋅  11 мин. на транспорте, ⋅  5 мин. на транспорте, ⋅  4 мин. на транспорте,,"2-комн. квартира, 61 м²",61 м²,Центральное,,Подземная,5,,2011,,,Монолитный,Железобетонные,,23000000,377 049,,10 из 34
Нет,"Москва, ЗАО, р-н Можайский, ул. Козлова, 34",,,2008,45 м²,,13 м²,"1 пассажирский, 1 грузовой",,,,,"2-комн. квартира, 78 м²",78 м²,Центральное,,Подземная,1,,2011,,,Монолитный,Железобетонные,,35000000,448 718,,4 из 23
,"Москва, ВАО, р-н Сокольники, Русаковская ул., 31",,,,43 м²,,18 м²,, ⋅  2 мин. пешком,,,,"2-комн. квартира, 92 м²",92 м²,,,,,,2009,,,,,,33000000,358 696,,30 из 35
Нет,"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 57С1",,,2016,28 м²,,8 м²,1 пассажирский, ⋅  14 мин. пешком,,,Нет,"2-комн. апартаменты, 51,5 м²","51,5 м²",,,Подземная,,,2016,,,Монолитный,,,35000000,679 612,,2 из 7
Нет,"Москва, ЮАО, р-н Бирюлево Западное, Булатниковский проезд, 6к2",,Центральное,1974,27 м²,,6 м²,1 пассажирский, ⋅  5 мин. на транспорте,,,Есть,"2-комн. квартира, 43 м²",43 м²,Центральное,,,6,,,,II-49,Панельный,Железобетонные,,7000000,162 791,,2 из 9
Нет,"Москва, ЮАО, р-н Даниловский, ул. Трофимова, 1/17",,Центральное,1956,38 м²,,"8,3 м²",1 пассажирский, ⋅  10 мин. пешком,,,Есть,"2-комн. квартира, 64,6 м²","64,6 м²",,,,7,,,,,,,,11500000,178 019,,6 из 8
Нет,"Москва, ЮЗАО, р-н Гагаринский, ул. Дмитрия Ульянова, 4К2",,Центральное,1960,"31,4 м²",,9 м²,2 пассажирских, ⋅  10 мин. пешком, ⋅  20 мин. пешком,,Есть,"2-комн. квартира, 52,3 м²","52,3 м²",Центральное,,,6,,,,,Кирпичный,Железобетонные,,15000000,286 807,,10 из 14
Нет,"Москва, ЗАО, р-н Раменки, ул. Раменки, 20",,,2008,62 м²,,14 м²,"1 пассажирский, 2 грузовых", ⋅  15 мин. пешком, ⋅  10 мин. на транспорте, ⋅  10 мин. на транспорте,Есть,"2-комн. квартира, 87 м²",87 м²,Центральное,,,3,,,,,Монолитный,Железобетонные,,35000000,402 299,,4 из 23
Нет,"Москва, ЦАО, р-н Басманный, Мясницкая ул., 24/7С3",,,2014,,,,1 пассажирский, ⋅  4 мин. пешком, ⋅  4 мин. пешком, ⋅  4 мин. пешком,,"2-комн. апартаменты, 51,5 м²","51,5 м²",,,Наземная,,,1883,,,Монолитный,,,37000000,718 447,,6 из 6
Нет,"Москва, ЮАО, р-н Нагорный, Варшавское ш., 69К1",,Центральное,1961,28 м²,,6 м²,1 пассажирский, ⋅  12 мин. пешком, ⋅  12 мин. пешком, ⋅  5 мин. на транспорте,Есть,"2-комн. квартира, 45 м²",45 м²,Центральное,,,5,,,,II-29,Кирпичный,Железобетонные,,9000000,200 000,,7 из 8
,"Москва, ЦАО, р-н Тверской, Никольская ул., 10",,,,,,,1 пассажирский, ⋅  3 мин. пешком, ⋅  6 мин. пешком, ⋅  6 мин. пешком,Есть,"2-комн. апартаменты, 87 м²",87 м²,,,Подземная,,,2015,,,,,,94000000,1 080 460,,2 из 5
Нет,"Москва, ЦАО, р-н Мещанский, ул. Советской Армии, 6",,,2013,,,,"1 пассажирский, 1 грузовой", ⋅  7 мин. пешком, ⋅  9 мин. пешком, ⋅  15 мин. пешком,Есть,"2-комн. квартира, 103,2 м²","103,2 м²",Центральное,,Подземная,2,,2013,,,Монолитный,Железобетонные,,66310000,642 539,,6 из 14
Нет,"Москва, ЦАО, р-н Басманный, Большой Харитоньевский пер., 16-18",,,2001,,,,1 пассажирский, ⋅  5 мин. пешком,,,Есть,"2-комн. квартира, 77 м²",77 м²,Центральное,,,2,,2001,,,Кирпичный,Железобетонные,,42000000,545 455,,2 из 7
Нет,"Москва, СЗАО, р-н Хорошево-Мневники, просп. Маршала Жукова, 37К2",,,2014,"39,3 м²",,15 м²,"1 пассажирский, 1 грузовой", ⋅  5 мин. на транспорте,,,,"2-комн. квартира, 64 м²",64 м²,Центральное,,,6,,,,,Монолитный,Железобетонные,,16000000,250 000,,1 из 13
,"Московская область, Пушкинский городской округ, Зеленоградский дп, ул. Зеленый Город",,,,"17,2 м²",,"12,4 м²","1 пассажирский, 1 грузовой", ⋅  51 мин. на транспорте,,,,"1-комн. квартира, 41,78 м²","41,78 м²",,,Подземная,,,,4 кв. 2017,,Монолитный,,,2882820,69 000,,5 из 14
,"Московская область, Пушкинский городской округ, Зеленоградский дп, ул. Зеленый Город",,,,"17,2 м²",,"12,4 м²","1 пассажирский, 1 грузовой", ⋅  51 мин. на транспорте,,,,"1-комн. квартира, 41,78 м²","41,78 м²",,,Подземная,,,,4 кв. 2017,,Монолитный,,,2882820,69 000,,6 из 14
,"Московская область, Пушкинский городской округ, Зеленоградский дп, ул. Зеленый Город",,,,13 м²,,"10,1 м²","1 пассажирский, 1 грузовой", ⋅  51 мин. на транспорте,,,,"1-комн. квартира, 40,24 м²","40,24 м²",,,Подземная,,,,4 кв. 2017,,Монолитный,,,2655840,66 000,,6 из 14
,"Московская область, Пушкинский городской округ, Зеленоградский дп, ул. Зеленый Город",,,,"24,2 м²",,"9,1 м²","1 пассажирский, 1 грузовой", ⋅  51 мин. на транспорте,,,,"1-комн. квартира, 44,19 м²","44,19 м²",,,Подземная,,,,2 кв. 2019,,Монолитный,,,3004920,68 000,,9 из 14
Нет,"Москва, ЮАО, р-н Донской, 5-й Донской проезд, 21К12",,Центральное,1962,26 м²,,6 м²,Нет, ⋅  7 мин. пешком, ⋅  7 мин. пешком,,,"2-комн. квартира, 44 м²",44 м²,Центральное,,,4,,,,,Кирпичный,Железобетонные,,8600000,195 455,,3 из 5
