Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Московская область, Мытищи, мкр. Ярославский, Юбилейная ул., 16",24.0,10.0,48.0,6550000.0,136458.0,12,25,15.0,на транспорте,"(55.913162, 37.713063, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 4/2",45.0,,64.0,26000000.0,406250.0,4,7,13.0,пешком,"(55.750727, 37.562272, 0.0)"
"Москва, ЦАО, р-н Тверской, 1-й Колобовский пер., 13/14С3",23.4,8.9,40.0,18000000.0,450000.0,2,3,5.0,пешком,"(55.769216, 37.617411, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",63.0,20.0,98.0,59900000.0,611224.0,33,54,11.0,на транспорте,"(55.723257, 37.52766, 0.0)"
"Москва, ЦАО, р-н Хамовники, Комсомольский просп., 42С2",48.0,,67.3,37900000.0,563150.0,4,5,10.0,пешком,"(55.721731, 37.572899, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,61.0,23000000.0,377049.0,10,34,11.0,на транспорте,"(55.723257, 37.52766, 0.0)"
"Москва, ВАО, р-н Сокольники, Русаковская ул., 31",43.0,18.0,92.0,33000000.0,358696.0,30,35,2.0,пешком,"(55.788576, 37.678685, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Садовническая ул., 57С1",28.0,8.0,51.5,35000000.0,679612.0,2,7,14.0,пешком,"(55.740558, 37.640929, 0.0)"
"Москва, ЮАО, р-н Бирюлево Западное, Булатниковский проезд, 6к2",27.0,6.0,43.0,7000000.0,162791.0,2,9,5.0,на транспорте,"(55.593482, 37.649049, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Трофимова, 1/17",38.0,8.3,64.6,11500000.0,178019.0,6,8,10.0,пешком,"(55.703581, 37.661078, 0.0)"
"Москва, ЮЗАО, р-н Гагаринский, ул. Дмитрия Ульянова, 4К2",31.4,9.0,52.3,15000000.0,286807.0,10,14,10.0,пешком,"(55.692501, 37.558445, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Раменки, 20",62.0,14.0,87.0,35000000.0,402299.0,4,23,15.0,пешком,"(55.689238, 37.487901, 0.0)"
"Москва, ЦАО, р-н Басманный, Мясницкая ул., 24/7С3",,,51.5,37000000.0,718447.0,6,6,4.0,пешком,"(55.763027, 37.636662, 0.0)"
"Москва, ЮАО, р-н Нагорный, Варшавское ш., 69К1",28.0,6.0,45.0,9000000.0,200000.0,7,8,12.0,пешком,"(55.66178, 37.620177, 0.0)"
"Москва, ЦАО, р-н Тверской, Никольская ул., 10",,,87.0,94000000.0,1080460.0,2,5,3.0,пешком,"(55.757957, 37.624534, 0.0)"
"Москва, ЦАО, р-н Мещанский, ул. Советской Армии, 6",,,103.2,66310000.0,642539.0,6,14,7.0,пешком,"(55.786597, 37.617563, 0.0)"
"Москва, ЦАО, р-н Басманный, Большой Харитоньевский пер., 16-18",,,77.0,42000000.0,545455.0,2,7,5.0,пешком,"(55.765205, 37.647486, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, просп. Маршала Жукова, 37К2",39.3,15.0,64.0,16000000.0,250000.0,1,13,5.0,на транспорте,"(55.774517, 37.473006, 0.0)"
"Москва, ЮАО, р-н Донской, 5-й Донской проезд, 21К12",26.0,6.0,44.0,8600000.0,195455.0,3,5,7.0,пешком,"(55.703992, 37.593336, 0.0)"
"Москва, ЗАО, р-н Раменки, Воробьевское ш., 4",43.0,9.0,70.6,37000000.0,524079.0,10,13,7.0,на транспорте,"(55.727693, 37.535359, 0.0)"
"Москва, СЗАО, р-н Щукино, Авиационная ул., 63",46.0,11.0,70.0,16200000.0,231429.0,26,26,5.0,пешком,"(55.809343, 37.455633, 0.0)"
"Москва, ЗАО, р-н Крылатское, Осенний бул., 18К2",19.0,8.0,39.0,9500000.0,243590.0,17,17,6.0,пешком,"(55.761796, 37.410026, 0.0)"
"Москва, ВАО, р-н Богородское, проезд 3-й Подбельского, 16Б",28.0,7.5,60.0,9500000.0,158333.0,1,6,5.0,пешком,"(55.815514, 37.72078, 0.0)"
"Москва, ЮВАО, р-н Нижегородский, 3-я Карачаровская ул., 9к3",19.1,9.0,39.0,7000000.0,179487.0,12,17,15.0,на транспорте,"(55.735038, 37.749894, 0.0)"
"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп., 128К4",34.0,10.0,56.3,9490000.0,168561.0,3,17,15.0,пешком,"(55.701136, 37.782844, 0.0)"
"Москва, САО, р-н Хорошевский, Хорошевское ш., 16к2",,8.0,55.0,22500000.0,409091.0,23,44,3.0,пешком,"(55.774254, 37.546525, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Пудовкина, вл7А",37.0,15.0,85.0,39890000.0,469294.0,15,17,22.0,пешком,"(55.728408, 37.530858, 0.0)"
"Москва, САО, р-н Аэропорт, ул. Черняховского, 17К4",28.0,9.0,46.3,8000000.0,172786.0,1,5,15.0,пешком,"(55.808361, 37.537029, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 4/2",43.0,15.0,64.0,26000000.0,406250.0,4,10,10.0,пешком,"(55.750727, 37.562272, 0.0)"
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С48",,,72.4,29600000.0,408840.0,3,8,4.0,пешком,"(55.774948, 37.67298, 0.0)"
"Москва, ЦАО, р-н Таганский, ул. Рогожский Вал, 4",31.0,25.0,63.8,15350000.0,240596.0,2,16,3.0,пешком,"(55.744262, 37.676412, 0.0)"
"Москва, ЦАО, р-н Тверской, Тихвинская ул., 39",60.0,16.0,101.3,46000000.0,454097.0,17,17,12.0,пешком,"(55.791289, 37.598959, 0.0)"
"Москва, ЦАО, р-н Якиманка, Софийская наб., 34С4",,,43.0,28500000.0,662791.0,2,8,10.0,пешком,"(55.747287, 37.622774, 0.0)"
"Москва, СВАО, р-н Северный, Дмитровское ш., 122Гк1",28.0,14.0,69.4,13392600.0,192977.0,3,4,15.0,на транспорте,"(55.920547, 37.547216, 0.0)"
"Москва, ЦАО, р-н Тверской, Никольская ул., 10/2С2б",63.0,15.0,87.0,94000000.0,1080460.0,2,5,3.0,пешком,"(55.758453, 37.625055, 0.0)"
"Москва, ЦАО, р-н Таганский, ул. Талалихина, 8",,,97.2,39000000.0,401235.0,6,18,6.0,пешком,"(55.736143, 37.676286, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Барклая ул., 7К4",22.0,18.0,52.0,17160000.0,330000.0,6,10,7.0,пешком,"(55.739808, 37.501285, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, ул. Покрышкина, 8к1",32.0,18.0,69.2,16000000.0,231214.0,3,15,14.0,пешком,"(55.665919, 37.469593, 0.0)"
"Москва, САО, р-н Хорошевский, ул. Гризодубовой, 4К4",49.0,18.0,74.0,24800000.0,335135.0,3,18,5.0,пешком,"(55.785711, 37.521381, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,100.0,52500000.0,525000.0,27,53,23.0,пешком,"(55.723257, 37.52766, 0.0)"
"Москва, ЦАО, р-н Басманный, Большой Харитоньевский пер., 16-18",54.0,15.0,77.0,42000000.0,545455.0,2,7,6.0,пешком,"(55.765205, 37.647486, 0.0)"
"Москва, ЮВАО, р-н Кузьминки, Волгоградский просп., 106к1",19.0,11.0,40.1,9500000.0,236908.0,12,24,7.0,пешком,"(55.703383, 37.774948, 0.0)"
"Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12",70.0,,83.0,34500000.0,415663.0,74,95,3.0,пешком,"(55.749511, 37.537083, 0.0)"
"Москва, ЦАО, р-н Хамовники, 3-я Фрунзенская ул., 19",38.0,17.0,95.9,57500000.0,599583.0,3,9,5.0,пешком,"(55.723313, 37.571965, 0.0)"
"Москва, ЦАО, р-н Хамовники, Малая Пироговская ул., 8",,,73.0,58000000.0,794521.0,3,7,10.0,пешком,"(55.72961, 37.570474, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к9",30.0,10.0,61.25,16866643.0,275374.0,5,9,5.0,пешком,"(55.797787, 37.497153, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Маршала Рыбалко, 2к4",40.0,18.8,89.92,28570768.0,317735.0,10,18,5.0,пешком,"(55.797483, 37.495096, 0.0)"
"Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23С928",,,43.0,5900000.0,137209.0,3,4,10.0,пешком,"(55.702358, 37.640605, 0.0)"
"Москва, ВАО, р-н Богородское, 3-я Гражданская ул., 3А",35.0,10.0,75.0,19200000.0,256000.0,8,22,10.0,на транспорте,"(55.813268, 37.705077, 0.0)"
"Москва, СЗАО, р-н Щукино, ул. Академика Бочвара, 7К2",,8.5,39.0,10000000.0,256410.0,2,12,5.0,пешком,"(55.805477, 37.462128, 0.0)"
"Московская область, Ленинский городской округ, Дрожжино рп, ул. Южная, 23к2",38.0,10.0,60.0,6850000.0,114167.0,8,20,10.0,на транспорте,"(55.522026, 37.593084, 0.0)"
"Москва, ЮВАО, р-н Лефортово, Солдатский пер., 10",40.2,18.5,82.0,17600000.0,214634.0,5,17,15.0,пешком,"(55.767291, 37.705032, 0.0)"
"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",,,33.1,5759400.0,174000.0,2,5,8.0,пешком,"(55.789704, 37.810081, 0.0)"
"Москва, ЦАО, р-н Пресненский, Краснопресненская наб., 14С1",145.0,20.0,171.0,134000000.0,783626.0,18,65,7.0,пешком,"(55.752637, 37.548204, 0.0)"
"Москва, ЮВАО, р-н Лефортово, Душинская ул., 16",47.4,18.4,86.8,15990000.0,184217.0,14,21,10.0,пешком,"(55.745645, 37.704943, 0.0)"
"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",,,30.7,5435200.0,177042.0,3,5,8.0,пешком,"(55.789704, 37.810081, 0.0)"
"Москва, ВАО, р-н Восточное Измайлово, 12-я Парковая ул., 5",,,47.6,8782200.0,184500.0,4,5,8.0,пешком,"(55.789704, 37.810081, 0.0)"
"Москва, СВАО, р-н Северный, Дмитровское ш., 122Гк1",,,73.0,12259380.0,167937.0,4,4,15.0,на транспорте,"(55.920547, 37.547216, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",,,356.0,165000000.0,463483.0,44,53,9.0,на транспорте,"(55.723257, 37.52766, 0.0)"
"Москва, ЦАО, р-н Тверской, 2-я Брестская ул., 6",30.0,,37.0,14500000.0,391892.0,10,12,2.0,пешком,"(55.770811, 37.591189, 0.0)"
"Москва, ЦАО, р-н Пресненский, Средний Тишинский пер., 5/7С1",49.2,23.6,92.5,55679450.0,601940.0,16,18,10.0,пешком,"(55.769975, 37.576798, 0.0)"
"Москва, СВАО, р-н Бутырский, ул. Руставели, 1/2",31.0,8.0,61.0,12299000.0,201623.0,2,8,5.0,пешком,"(55.812358, 37.583634, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",13.8,,78.07,24240675.0,310499.0,6,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",14.5,,61.41,16856760.0,274495.0,8,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",18.8,,62.84,16873091.0,268509.0,8,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",14.2,,75.49,20222355.0,267881.0,9,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",14.8,,60.24,15200699.0,252336.0,9,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",12.6,,51.68,18283834.0,353789.0,9,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",18.8,,65.16,16953519.0,260183.0,10,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",18.8,,62.84,22494932.0,357972.0,12,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
"Москва, СВАО, р-н Останкинский, просп. Мира, вл95",32.6,,46.61,18158185.0,389577.0,12,15,4.0,пешком,"(55.807658, 37.635045, 0.0)"
